scheme_name,fund_score
SBI Small Cap Fund - Direct Plan - Growth,72.125
Kotak Flexicap Fund - Regular - Growth,70.875
Kotak Emerging Equity Fund - Regular - Growth,69.875
ABSL Small Cap Fund - Regular - Growth,67.625
SBI Small Cap Fund - Regular Plan - Growth,63.75
Mirae Asset Large Cap Fund - Regular - Growth,63.3125
HDFC Short Term Debt Fund - Regular - Growth,62.375
ICICI Pru Liquid Fund - Regular - Growth,61.125
ICICI Pru Midcap Fund - Regular - Growth,60.375
ICICI Pru Bluechip Fund - Direct - Growth,59.0
Mirae Asset Emerging Bluechip Fund - Regular - Growth,57.875
HDFC Top 100 Fund - Direct Plan - Growth,57.75
Kotak Liquid Fund - Regular - Growth,55.75
UTI Flexi Cap Fund - Regular - Growth,55.4375
Nippon India ETF Nifty 50 BeES,53.4375
Nippon India Large Cap Fund - Direct - Growth,52.25
Axis Midcap Fund - Regular - Growth,51.4375
DSP Midcap Fund - Regular - Growth,51.3125
DSP Top 100 Equity Fund - Regular - Growth,50.6875
SBI Magnum Gilt Fund - Regular Plan - Growth,50.625
ICICI Pru Value Discovery Fund - Regular - Growth,50.5
HDFC Top 100 Fund - Regular Plan - Growth,49.6875
HDFC Mid-Cap Opportunities Fund - Regular - Growth,49.125
HDFC Mid-Cap Opportunities Fund - Direct - Growth,48.5625
ABSL Frontline Equity Fund - Regular - Growth,47.9375
Nippon India Large Cap Fund - Regular - Growth,47.1875
Nippon India Small Cap Fund - Regular - Growth,47.0
ABSL Liquid Fund - Regular - Growth,46.125
Axis Bluechip Fund - Direct - Growth,45.25
SBI Bluechip Fund - Direct Plan - Growth,45.1875
Axis Small Cap Fund - Regular - Growth,45.0
Nippon India Gilt Securities Fund - Regular - Growth,43.75
UTI Mid Cap Fund - Regular - Growth,42.75
DSP Small Cap Fund - Regular - Growth,38.625
UTI Nifty 50 Index Fund - Regular - Growth,37.6875
Axis Bluechip Fund - Regular - Growth,34.4375
Kotak Bluechip Fund - Regular - Growth,34.375
SBI Bluechip Fund - Regular Plan - Growth,33.5
ICICI Pru Bluechip Fund - Regular - Growth,27.6875
Mirae Asset Tax Saver Fund - Regular - Growth,23.625
